City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cape Town,100,CL,1653244595,89,-36.413,-71.9028,49.42,17.98
Luchegorsk,13,RU,1653244595,90,46.4764,134.2569,44.69,2.48
Busselton,65,AU,1653244596,67,-33.65,115.3333,61.27,23.49
Rio Branco,21,GR,1653244596,61,38.3,21.7833,73.78,8.01
Mataura,100,NZ,1653244410,91,-46.1927,168.8643,44.33,7.65
Arraial Do Cabo,4,BR,1653244597,50,-22.8362,-46.646,67.96,4.65
Chernyshevskiy,75,RU,1653244597,78,63.0128,112.4714,47.41,3.56
Saint-Philippe,38,RE,1653244598,76,-21.3585,55.7679,71.19,11.23
Bilibino,79,RU,1653244339,70,68.0546,166.4372,43.16,3.89
Itarema,61,BR,1653244598,81,-2.9248,-39.9167,81.79,8.01
Albany,86,US,1653244599,48,42.6001,-73.9662,91.92,7.63
Morant Bay,100,JM,1653244599,68,17.9,-76.4333,85.68,10.78
Tessalit,48,ML,1653244599,14,20.1986,1.0114,95.02,11.68
Tura,98,IN,1653244600,93,25.5198,90.2201,72.48,3.62
Souillac,20,MU,1653244509,69,-20.5167,57.5167,75.58,11.5
Grand River South East,100,US,1653244600,12,38.8755,-109.5012,69.94,7.43
Innisfail,99,AU,1653244601,86,-17.5333,146.0333,71.2,5.3
Port Elizabeth,17,CD,1653244601,68,-7.0349,29.7638,73.8,5.21
Hermanus,69,ZA,1653244602,85,-34.4187,19.2345,60.31,7.63
Kodiak,75,US,1653244551,76,57.79,-152.4072,49.51,14.97
Bredasdorp,38,ZA,1653244602,90,-34.5322,20.0403,56.37,5.41
Castro,4,BR,1653244603,51,-24.7911,-50.0119,64.49,5.06
Goderich,100,CA,1653244603,87,43.7501,-81.7165,46.72,12.66
Punta Arenas,95,PH,1653244604,91,8.9897,125.34,75.74,5.03
Aktau,0,KZ,1653244604,68,43.65,51.2,59.58,17.94
Tazovskiy,100,RU,1653244604,95,67.4667,78.7,35.19,14.79
Ushuaia,20,AR,1653244507,81,-54.8,-68.3,40.62,2.3
Aleksandrovsk-Sakhalinskiy,100,RU,1653244393,92,50.8975,142.1561,36.57,6.26
Tyrma,100,RU,1653244605,89,50.0833,132.1667,46.89,6.55
Ngunguru,100,NZ,1653244605,81,-35.6167,174.5,56.37,8.01
Iqaluit,100,CA,1653244606,79,63.7506,-68.5145,26.33,24.16
Bluff,100,NZ,1653244606,73,-46.6,168.3333,50.31,24.79
Hami,94,CN,1653244607,18,42.8,93.45,80.17,12.66
Rikitea,2,PF,1653244607,76,-23.1203,-134.9692,75.85,13.69
Comodoro Rivadavia,74,BR,1653244608,35,-13.6631,-59.7858,84.78,4.05
Ancud,0,CL,1653244410,68,-41.8697,-73.8203,48.94,14.14
Mar Del Plata,40,ES,1653244609,88,43.4002,-4.0094,65.25,25.32
Gomel,0,BY,1653244609,87,52.4345,30.9754,51.82,6.71
Port Hardy,17,CD,1653244601,68,-7.0349,29.7638,73.8,5.21
Biak,98,ID,1653244609,83,-0.9131,122.8766,76.01,5.82
Cape Elizabeth,100,CL,1653244610,89,-36.413,-71.9028,49.42,17.98
Nalut,0,LY,1653244610,6,30.3333,10.85,79.05,7.38
San Patricio,100,ML,1653244611,34,13.3034,-4.8956,91.85,15.46
Bethel,0,US,1653244276,58,41.3712,-73.414,92.01,9.22
Chimore,95,BO,1653244611,70,-16.9833,-65.1333,72.64,2.91
Dondo,56,MZ,1653244612,97,-19.6094,34.7431,74.71,5.46
Srednekolymsk,99,RU,1653244612,51,67.45,153.6833,50.56,9.69
Medina,0,SA,1653244612,6,24.4686,39.6142,100.83,6.91
Garowe,98,SO,1653244613,40,8.4054,48.4845,87.84,20.87
Asau,96,RO,1653244613,75,46.4333,26.4,58.28,0.96
Constitucion,100,CL,1653244394,86,-35.3333,-72.4167,53.94,9.53
